siteid,eventid,individualid,growthform,stemdiameter,basalstemdiametermeasurementheight,maxcrowndiameter,vdapexbreakheight,maxbasecrowndiameter,samplingprotocolversion,plotid,tagid,plantstatus,measurementheight,vdapexheight,ninetycrowndiameter,vdbasebreakheight,ninetybasecrowndiameter,remarks,date,domainid,subplotid,nestedsubplotid,tagstatus,shape,basalstemdiameter,vdbaseheight,canopyposition,breakdiameter,basecrownheight,dataqf,plotType,subtype
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03481,sbt,20.9,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3481,1,130,8.1,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03480,sbt,13,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3480,1,130,11.8,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,TRUE,ok,NA,NA,-1.5,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03479,sbt,11.2,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3479,1,130,6,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,TRUE,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03522,sbt,10.7,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3522,1,130,5.5,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,TRUE,ok,NA,NA,-1.4,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03544,smt,4.3,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3544,1,130,2,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,TRUE,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03545,smt,9,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3545,1,130,5.5,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,TRUE,ok,NA,NA,-1.4,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03546,smt,6.5,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3546,1,140,3.7,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,NA,NA,ok,NA,NA,-1.3,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03552,smt,7.5,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3552,1,130,6.7,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,TRUE,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03548,NA,NA,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3548,14,NA,NA,NA,NA,NA,burnt tag found on ground,2016-09-12T00:00:00.000Z,D03,39,TRUE,unknown,NA,NA,NA,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03550,NA,NA,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3550,14,NA,NA,NA,NA,NA,wire found near burnt sapling,2016-09-12T00:00:00.000Z,D03,39,TRUE,ok,NA,NA,NA,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03476,sbt,20.3,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3476,1,140,7.9,NA,NA,NA,measured at 140 cm b/c of abnormality,2016-09-12T00:00:00.000Z,D03,NA,NA,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
